n,lang,test,time
70000,php,testDiv,0.0018398761749268
70000,py,testDiv,0.0032367706298828125
70000,c,testMinus,0.000067
70000,java,testMinus,0.000506
70000,js,testMinus,0.004714
70000,php,testMinus,0.0015780925750732
70000,py,testMinus,0.00322723388671875
70000,c,testProd,0.000083
70000,java,testProd,0.000489
70000,js,testProd,2.095618
70000,php,testProd,0.0023980140686035
70000,py,testProd,0.0031518936157226562
70000,c,testSum,0.000077
70000,java,testSum,0.000472
70000,js,testSum,1.423027
70000,php,testSum,0.0015180110931396
70000,py,testSum,0.002903461456298828
75000,c,testCmp,0.000087
75000,java,testCmp,0.001154
75000,js,testCmp,1.397126
75000,php,testCmp,0.0018000602722168
75000,py,testCmp,0.003672361373901367
75000,c,testDiv,0.000077
75000,java,testDiv,0.000683
75000,js,testDiv,1.231881
75000,php,testDiv,0.0017409324645996
75000,py,testDiv,0.0033288002014160156
75000,c,testMinus,0.000070
75000,java,testMinus,0.000558
75000,js,testMinus,0.003402
75000,php,testMinus,0.0022120475769043
75000,py,testMinus,0.00394129753112793
75000,c,testProd,0.000102
75000,java,testProd,0.000595
75000,js,testProd,1.550888
75000,php,testProd,0.0017690658569336
75000,py,testProd,0.0033044815063476562
75000,c,testSum,0.000080
75000,java,testSum,0.000730
75000,js,testSum,1.674355
75000,php,testSum,0.0015950202941895
75000,py,testSum,0.003371000289916992
80000,c,testCmp,0.000090
80000,java,testCmp,0.001472
80000,js,testCmp,1.381087
80000,php,testCmp,0.0020730495452881
80000,py,testCmp,0.003777027130126953
80000,c,testDiv,0.000096
80000,java,testDiv,0.000797
80000,js,testDiv,1.958229
80000,php,testDiv,0.0022909641265869
80000,py,testDiv,0.004058837890625
80000,c,testMinus,0.000079
80000,java,testMinus,0.000985
80000,js,testMinus,0.003606
80000,php,testMinus,0.0038020610809326
80000,py,testMinus,0.003618955612182617
80000,c,testProd,0.000085
80000,java,testProd,0.000672
80000,js,testProd,2.217402
80000,php,testProd,0.0022289752960205
80000,py,testProd,0.0039501190185546875
80000,c,testSum,0.000161
80000,java,testSum,0.000999
80000,js,testSum,1.650201
80000,php,testSum,0.0016970634460449
80000,py,testSum,0.003736257553100586
85000,c,testCmp,0.000097
85000,java,testCmp,0.001319
85000,js,testCmp,1.844487
85000,php,testCmp,0.0022609233856201
85000,py,testCmp,0.004304170608520508
85000,c,testDiv,0.000096
85000,java,testDiv,0.001338
85000,js,testDiv,1.625218
85000,php,testDiv,0.0021548271179199
85000,py,testDiv,0.004118680953979492
85000,c,testMinus,0.000187
85000,java,testMinus,0.000771
85000,js,testMinus,0.003873
85000,php,testMinus,0.0018131732940674
85000,py,testMinus,0.004001140594482422
85000,c,testProd,0.000100
85000,java,testProd,0.000873
85000,js,testProd,1.903454
85000,php,testProd,0.0019509792327881
85000,py,testProd,0.003992319107055664
85000,c,testSum,0.000100
85000,java,testSum,0.001215
85000,js,testSum,1.68929
85000,php,testSum,0.0018219947814941
85000,py,testSum,0.004060029983520508
90000,c,testCmp,0.000111
90000,java,testCmp,0.001555
90000,js,testCmp,1.799987
90000,php,testCmp,0.0024478435516357
90000,py,testCmp,0.0044574737548828125
90000,c,testDiv,0.000103
90000,java,testDiv,0.000886
90000,js,testDiv,1.781032
90000,php,testDiv,0.0021548271179199
90000,py,testDiv,0.004628181457519531
90000,c,testMinus,0.000239
90000,java,testMinus,0.000808
90000,js,testMinus,0.003189
90000,php,testMinus,0.0022208690643311
90000,py,testMinus,0.003997325897216797
90000,c,testProd,0.000096
90000,java,testProd,0.000916
90000,js,testProd,2.243658
90000,php,testProd,0.0023341178894043
90000,py,testProd,0.0046596527099609375
90000,c,testSum,0.000111
90000,java,testSum,0.000802
90000,js,testSum,1.823359
90000,php,testSum,0.0022029876708984
90000,py,testSum,0.00465846061706543
95000,c,testCmp,0.000105
95000,java,testCmp,0.000982
95000,js,testCmp,1.990423
95000,php,testCmp,0.0027279853820801
95000,py,testCmp,0.0045201778411865234
95000,c,testDiv,0.000110
95000,java,testDiv,0.000346
95000,js,testDiv,1.98081
95000,php,testDiv,0.0025429725646973
95000,py,testDiv,0.00671696662902832
95000,c,testMinus,0.000110
95000,java,testMinus,0.000660
95000,js,testMinus,0.003632
95000,php,testMinus,0.0023889541625977
95000,py,testMinus,0.004536628723144531
95000,c,testProd,0.000104
95000,java,testProd,0.000662
95000,js,testProd,1.848817
95000,php,testProd,0.0021240711212158
95000,py,testProd,0.004506587982177734
95000,c,testSum,0.000110
95000,java,testSum,0.000347
95000,js,testSum,1.57166
95000,php,testSum,0.0024681091308594
95000,py,testSum,0.004311323165893555
100000,c,testCmp,0.000130
100000,java,testCmp,0.001145
100000,js,testCmp,2.029545
100000,php,testCmp,0.0027709007263184
100000,py,testCmp,0.005669593811035156
100000,c,testDiv,0.000106
100000,java,testDiv,0.000529
100000,js,testDiv,1.862498
100000,php,testDiv,0.0031230449676514
100000,py,testDiv,0.005953550338745117
100000,c,testMinus,0.000159
100000,java,testMinus,0.000452
100000,js,testMinus,0.003536
100000,php,testMinus,0.002471923828125
100000,py,testMinus,0.00449681282043457
100000,c,testProd,0.000125
100000,java,testProd,0.000683
100000,js,testProd,1.937539
100000,php,testProd,0.0025420188903809
100000,py,testProd,0.0047245025634765625
100000,c,testSum,0.000114
100000,java,testSum,0.000479
100000,js,testSum,1.627037
100000,php,testSum,0.0028820037841797
100000,py,testSum,0.00484156608581543
10000,c,testCmp,0.000013
10000,java,testCmp,0.000748
10000,js,testCmp,0.258899
10000,php,testCmp,0.00026893615722656
10000,py,testCmp,0.0004851818084716797
10000,c,testDiv,0.000010
10000,java,testDiv,0.000532
10000,js,testDiv,0.251194
10000,php,testDiv,0.00024509429931641
10000,py,testDiv,0.0004601478576660156
10000,c,testMinus,0.000012
10000,java,testMinus,0.000919
10000,js,testMinus,0.003721
10000,php,testMinus,0.00027012825012207
10000,py,testMinus,0.0004200935363769531
10000,c,testProd,0.000038
10000,java,testProd,0.000719
10000,js,testProd,0.264151
10000,php,testProd,0.00024199485778809
10000,py,testProd,0.0003695487976074219
10000,c,testSum,0.000012
10000,java,testSum,0.001030
10000,js,testSum,0.609946
10000,php,testSum,0.00027203559875488
10000,py,testSum,0.0004112720489501953
15000,c,testCmp,0.000015
15000,java,testCmp,0.000617
15000,js,testCmp,0.384512
15000,php,testCmp,0.00037598609924316
15000,py,testCmp,0.0006353855133056641
15000,c,testDiv,0.000016
15000,java,testDiv,0.000616
15000,js,testDiv,0.406406
15000,php,testDiv,0.00038599967956543
15000,py,testDiv,0.0007328987121582031
15000,c,testMinus,0.000017
15000,java,testMinus,0.000532
15000,js,testMinus,0.003213
15000,php,testMinus,0.00037503242492676
15000,py,testMinus,0.0006251335144042969
15000,c,testProd,0.000015
15000,java,testProd,0.000570
15000,js,testProd,0.425423
15000,php,testProd,0.00031590461730957
15000,py,testProd,0.0006158351898193359
15000,c,testSum,0.000015
15000,java,testSum,0.000486
15000,js,testSum,0.430964
15000,php,testSum,0.00044107437133789
15000,py,testSum,0.0006887912750244141
20000,c,testCmp,0.000018
20000,java,testCmp,0.001155
20000,js,testCmp,0.473723
20000,php,testCmp,0.00047898292541504
20000,py,testCmp,0.0007939338684082031
20000,c,testDiv,0.000022
20000,java,testDiv,0.000738
20000,js,testDiv,0.429869
20000,php,testDiv,0.00075507164001465
20000,py,testDiv,0.0007672309875488281
20000,c,testMinus,0.000019
20000,java,testMinus,0.000846
20000,js,testMinus,0.003197
20000,php,testMinus,0.00041508674621582
20000,py,testMinus,0.0008146762847900391
20000,c,testProd,0.000022
20000,java,testProd,0.000873
20000,js,testProd,0.463435
20000,php,testProd,0.00040602684020996
20000,py,testProd,0.0007901191711425781
20000,c,testSum,0.000064
20000,java,testSum,0.001323
20000,js,testSum,0.546158
20000,php,testSum,0.00046992301940918
20000,py,testSum,0.0007448196411132812
25000,c,testCmp,0.000027
25000,java,testCmp,0.001246
25000,js,testCmp,0.571665
25000,php,testCmp,0.00061607360839844
25000,py,testCmp,0.0009796619415283203
25000,c,testDiv,0.000023
25000,java,testDiv,0.001274
25000,js,testDiv,0.615464
25000,php,testDiv,0.00060677528381348
25000,py,testDiv,0.0009527206420898438
25000,c,testMinus,0.000023
25000,java,testMinus,0.001306
25000,js,testMinus,0.004964
25000,php,testMinus,0.00084185600280762
25000,py,testMinus,0.0009415149688720703
25000,c,testProd,0.000023
25000,java,testProd,0.001701
25000,js,testProd,0.632814
25000,php,testProd,0.00058603286743164
25000,py,testProd,0.0010728836059570312
25000,c,testSum,0.000024
25000,java,testSum,0.001828
25000,js,testSum,0.653545
25000,php,testSum,0.00058388710021973
25000,py,testSum,0.0009624958038330078
30000,c,testCmp,0.000029
30000,java,testCmp,0.002763
30000,js,testCmp,0.587864
30000,php,testCmp,0.00066590309143066
30000,py,testCmp,0.001222372055053711
30000,c,testDiv,0.000028
30000,java,testDiv,0.001396
30000,js,testDiv,0.617615
30000,php,testDiv,0.00071811676025391
30000,py,testDiv,0.0012087821960449219
30000,c,testMinus,0.000031
30000,java,testMinus,0.002542
30000,js,testMinus,0.004987
30000,php,testMinus,0.0007021427154541
30000,py,testMinus,0.0011920928955078125
30000,c,testProd,0.000028
30000,java,testProd,0.001436
30000,js,testProd,1.046223
30000,php,testProd,0.00068497657775879
30000,py,testProd,0.001186370849609375
30000,c,testSum,0.000028
30000,java,testSum,0.001666
30000,js,testSum,0.604645
30000,php,testSum,0.0006859302520752
30000,py,testSum,0.001256704330444336
35000,c,testCmp,0.000036
35000,java,testCmp,0.002480
35000,js,testCmp,1.076504
35000,php,testCmp,0.00091695785522461
35000,py,testCmp,0.0014989376068115234
35000,c,testDiv,0.000032
35000,java,testDiv,0.001554
35000,js,testDiv,0.758946
35000,php,testDiv,0.00084900856018066
35000,py,testDiv,0.0014450550079345703
35000,c,testMinus,0.000036
35000,java,testMinus,0.002183
35000,js,testMinus,0.003334
35000,php,testMinus,0.00078105926513672
35000,py,testMinus,0.0014293193817138672
35000,c,testProd,0.000035
35000,java,testProd,0.001561
35000,js,testProd,1.316817
35000,php,testProd,0.00078797340393066
35000,py,testProd,0.0014491081237792969
35000,c,testSum,0.000032
35000,java,testSum,0.001725
35000,js,testSum,0.823071
35000,php,testSum,0.0013740062713623
35000,py,testSum,0.0016977787017822266
40000,c,testCmp,0.000043
40000,java,testCmp,0.002080
40000,js,testCmp,1.105909
40000,php,testCmp,0.0010302066802979
40000,py,testCmp,0.0017380714416503906
40000,c,testDiv,0.000039
40000,java,testDiv,0.001855
40000,js,testDiv,1.131562
40000,php,testDiv,0.00090885162353516
40000,py,testDiv,0.001668691635131836
40000,c,testMinus,0.000038
40000,java,testMinus,0.002341
40000,js,testMinus,0.004125
40000,php,testMinus,0.00090909004211426
40000,py,testMinus,0.0016710758209228516
40000,c,testProd,0.000038
40000,java,testProd,0.001887
40000,js,testProd,0.965062
40000,php,testProd,0.00088095664978027
40000,py,testProd,0.0017304420471191406
