n,lang,test,time
80000,py,testCat,0.0050907135009765625
80000,c,testCmp,0.000179
80000,java,testCmp,0.003628
80000,js,testCmp,1.505816
80000,php,testCmp,0.0040280818939209
80000,py,testCmp,0.0032796859741210938
80000,c,testCpy,0.000911
80000,java,testCpy,0.000236
80000,js,testCpy,1.546322
80000,php,testCpy,0.0034630298614502
80000,py,testCpy,0.0013382434844970703
80000,c,testLen,0.000280
80000,java,testLen,0.002162
80000,js,testLen,1.192035
80000,php,testLen,0.0033059120178223
80000,py,testLen,0.0030341148376464844
85000,c,testCat,0.000546
85000,java,testCat,0.047317
85000,js,testCat,5.732827
85000,php,testCat,0.0036258697509766
85000,py,testCat,0.005654573440551758
85000,c,testCmp,0.000194
85000,java,testCmp,0.002368
85000,js,testCmp,1.486489
85000,php,testCmp,0.0023388862609863
85000,py,testCmp,0.0034363269805908203
85000,c,testCpy,0.000824
85000,java,testCpy,0.000376
85000,js,testCpy,1.414034
85000,php,testCpy,0.0030720233917236
85000,py,testCpy,0.0012366771697998047
85000,c,testLen,0.000310
85000,java,testLen,0.001895
85000,js,testLen,1.179181
85000,php,testLen,0.0034639835357666
85000,py,testLen,0.0033507347106933594
90000,c,testCat,0.000676
90000,java,testCat,0.041135
90000,js,testCat,2.107545
90000,php,testCat,0.0034139156341553
90000,py,testCat,0.0062940120697021484
90000,c,testCmp,0.000199
90000,java,testCmp,0.002982
90000,js,testCmp,2.043753
90000,php,testCmp,0.002349853515625
90000,py,testCmp,0.003405332565307617
90000,c,testCpy,0.000742
90000,java,testCpy,0.000329
90000,js,testCpy,1.519994
90000,php,testCpy,0.0033631324768066
90000,py,testCpy,0.002681255340576172
90000,c,testLen,0.000286
90000,java,testLen,0.001929
90000,js,testLen,1.418635
90000,php,testLen,0.0038681030273438
90000,py,testLen,0.0032961368560791016
95000,c,testCat,0.000681
95000,java,testCat,0.037623
95000,js,testCat,3.178979
95000,php,testCat,0.0038430690765381
95000,py,testCat,0.0071566104888916016
95000,c,testCmp,0.000197
95000,java,testCmp,0.003218
95000,js,testCmp,1.550796
95000,php,testCmp,0.0025699138641357
95000,py,testCmp,0.003709554672241211
95000,c,testCpy,0.000765
95000,java,testCpy,0.000299
95000,js,testCpy,2.269626
95000,php,testCpy,0.0037600994110107
95000,py,testCpy,0.0014214515686035156
95000,c,testLen,0.000296
95000,java,testLen,0.002093
95000,js,testLen,1.468849
95000,php,testLen,0.0036778450012207
95000,py,testLen,0.003975868225097656
100000,c,testCat,0.000628
100000,java,testCat,0.038614
100000,js,testCat,2.81789
100000,php,testCat,0.0045211315155029
100000,py,testCat,0.007823705673217773
100000,c,testCmp,0.000201
100000,java,testCmp,0.004954
100000,js,testCmp,1.577325
100000,php,testCmp,0.0027599334716797
100000,py,testCmp,0.0038924217224121094
100000,c,testCpy,0.000793
100000,java,testCpy,0.000355
100000,js,testCpy,1.495269
100000,php,testCpy,0.0042691230773926
100000,py,testCpy,0.001538991928100586
100000,c,testLen,0.000320
100000,java,testLen,0.002166
100000,js,testLen,1.40845
100000,php,testLen,0.0039241313934326
